SS0284_S135_L003_R1_001	13061934
SS0284_S135_L003_R2_001	13061934
SS0291_S136_L003_R1_001	7566431
SS0291_S136_L003_R2_001	7566431
SS0302_S137_L003_R1_001	29839117
SS0302_S137_L003_R2_001	29839117
SS0309_S138_L003_R1_001	34088847
SS0309_S138_L003_R2_001	34088847
SS0311_S139_L003_R1_001	21331109
SS0311_S139_L003_R2_001	21331109
SS0313_S140_L003_R1_001	31640429
SS0313_S140_L003_R2_001	31640429
SS0324_S141_L003_R1_001	26396704
SS0324_S141_L003_R2_001	26396704
SS0326_S142_L003_R1_001	34379547
SS0326_S142_L003_R2_001	34379547
SS0328_S143_L003_R1_001	30852245
SS0328_S143_L003_R2_001	30852245
SS0333_S144_L003_R1_001	25115363
SS0333_S144_L003_R2_001	25115363
SS0349_S145_L003_R1_001	27320625
SS0349_S145_L003_R2_001	27320625
SS0351_S146_L003_R1_001	30260614
SS0351_S146_L003_R2_001	30260614
